,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
25,alcove,,hinge,abstract,0.001,0.005,0.5,0.5,0,5,16,0.9948,75.0,0.5007
26,alcove,,hinge,abstract,0.001,0.005,0.5,0.5,0,6,1,1.0,100.0,0.5
27,alcove,,hinge,abstract,0.001,0.005,0.5,0.5,0,6,4,1.0,100.0,0.5
28,alcove,,hinge,abstract,0.001,0.005,0.5,0.5,0,6,8,1.0,100.0,0.5
29,alcove,,hinge,abstract,0.001,0.005,0.5,0.5,0,6,12,1.0,100.0,0.5
30,alcove,,hinge,abstract,0.001,0.005,0.5,0.5,0,6,16,1.0,100.0,0.5
1,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,1,1,1.0,100.0,0.5003
2,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,1,4,0.9959,100.0,0.501
3,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,1,8,0.9904,100.0,0.5021
4,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,1,12,0.9848,100.0,0.5031
5,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,1,16,0.9792,100.0,0.5042
6,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,2,1,1.0,100.0,0.5
7,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,2,4,1.0,100.0,0.5
8,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,2,8,0.9999,100.0,0.5
9,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,2,12,0.9999,100.0,0.5
10,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,2,16,0.9999,100.0,0.5
11,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,3,1,1.0,100.0,0.5001
12,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,3,4,0.9979,100.0,0.5005
13,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,3,8,0.9952,100.0,0.501
14,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,3,12,0.9924,100.0,0.5016
15,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,3,16,0.9896,100.0,0.5021
16,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,4,1,1.0,100.0,0.5002
17,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,4,4,0.9969,100.0,0.5008
18,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,4,8,0.9928,100.0,0.5015
19,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,4,12,0.9887,100.0,0.5023
20,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,4,16,0.9846,100.0,0.5031
21,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,5,1,1.0,75.0,0.5001
22,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,5,4,0.999,75.0,0.5003
23,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,5,8,0.9976,75.0,0.5005
24,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,5,12,0.9962,75.0,0.5008
25,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,5,16,0.9948,75.0,0.501
26,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,6,1,1.0,100.0,0.5
27,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,6,4,1.0,100.0,0.5
28,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,6,8,1.0,100.0,0.5
29,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,6,12,1.0,100.0,0.5
30,alcove,,hinge,abstract,0.001,0.005,0.5,0.75,0,6,16,1.0,100.0,0.5
1,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,1,1.0,100.0,0.5003
2,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,4,0.9959,100.0,0.5014
3,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,8,0.9904,100.0,0.5027
4,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,12,0.9848,100.0,0.5041
5,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,16,0.9792,100.0,0.5056
6,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,1,1.0,100.0,0.5
7,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,4,1.0,100.0,0.5
8,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,8,0.9999,100.0,0.5
9,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,12,0.9999,100.0,0.5
10,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,16,0.9999,100.0,0.5
11,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,1,1.0,100.0,0.5002
12,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,4,0.9979,100.0,0.5007
13,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,8,0.9952,100.0,0.5014
